project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
data_type,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05
sample_event,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
stream_name,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek
site_name,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12
sample_date,7/20/2022,6/27/2022,6/24/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022,7/20/2022,6/27/2022,6/29/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022
pct_O,0,5,3,3,0,0,0,0,10,5,2.5,5,0,17.5,0,0,2,0,0,0,0,0,0,2,0,0,2,0,6,0
pct_shallow,42.5,15,35,38,8,25,55,22.5,17.5,40,17.5,40,47.5,52.5,17.5,6,4,8,8,2,2,16,6,6,6,8,8,14,8,2
pct_moderate,57.5,48,58,35,93,70,45,60,67.5,40,75,30,52.5,47.5,50,14,4,8,2,18,18,4,10,14,10,8,6,6,12,10
pct_undercut,0,38,8,28,0,5,0,17.5,15,20,7.5,27.5,0,0,32.5,0,12,4,10,0,0,0,4,0,4,0,6,0,0,8
pct_rip_cover,62.64705882,98,78,62,70,66.47058824,54.92647059,48.38235294,90.44117647,64.55882353,72.79411765,89.92647059,25.07352941,29.11764706,55.80882353,12.05882353,19.58823529,16.41176471,10.94117647,13.29411765,11.70588235,13.88235294,9.823529412,18.52941176,8.823529412,13.94117647,16.88235294,3.117647059,4.529411765,11.41176471
avg_embed,1320,11.6,9.4,6.4,2504,0,1100,1760,1860,1640,2220,1200,460,1840,2020,13.2,11.6,9.4,6.4,25.04,0,11,17.6,18.6,16.4,22.2,12,4.6,18.4,20.2
avg_bankfull_width,658.05,201.75,1006.75,1344.5,910.75,563,548.5,628.6,409.65,879.65,420.25,806,1915,614,526.75,832,191,1071,1418,379,537,418,546,336,829.2,514,643,3038,546,656
std_dev_bankfull_width,293.7,106.8,175.1,266.8,225.2,187.6,188.9,270.5,125.9,291.7,240,242.9,1715.4,135.1,249.7,349.6,99.4,123.6,279.9,465.4,247.2,141,245.8,79.6,202.8,212.9,132.6,3384.6,119.7,314.5
pct_pool,30,18,21,49,0,24,46.66666667,57.33333333,37.33333333,48,78,12.66666667,0,12.66666667,42,35.41666667,19.79166667,21.875,20.83333333,NA,37.5,25,52.08333333,40.625,58.33333333,67.70833333,13.54166667,0,19.79166667,65.625
pct_riffle,57.33333333,71,79,35,93.33333333,52.66666667,49.33333333,23.33333333,55.33333333,26.66666667,18.66666667,78,72,83.33333333,42.66666667,44.79166667,67.70833333,78.125,54.16666667,NA,30.20833333,68.75,23.95833333,51.04166667,22.91666667,27.08333333,75,60.41666667,130.2083333,34.375
